condition,text,source_url
Acne,"Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells. It causes whiteheads, blackheads, or pimples. Acne is most common among teenagers, though it affects people of all ages. Effective treatments are available, but acne can be persistent. The pimples and bumps heal slowly, and when one begins to go away, others seem to crop up.","https://www.dermnetnz.org/topics/acne"
Acne,"Acne develops when sebaceous glands produce too much oil (sebum), which mixes with dead skin cells to clog pores. Bacteria called Cutibacterium acnes (formerly Propionibacterium acnes) can grow in the clogged pores and cause inflammation. Hormonal changes, certain medications, diet, and stress can worsen acne.","https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047"
Acne,"Treatment for acne depends on its severity. Mild acne can be treated with over-the-counter medications containing benzoyl peroxide, salicylic acid, or adapalene. Moderate to severe acne may require prescription medications such as topical retinoids, antibiotics, or oral contraceptives. In severe cases, isotretinoin may be prescribed. Good skincare habits and avoiding picking at blemishes are important.","https://www.aad.org/public/diseases/acne"
Acne,"Acne can cause emotional distress and lead to scarring of the skin. Early treatment can reduce the risk of these complications. Non-inflammatory acne consists of closed comedones (whiteheads) and open comedones (blackheads). Inflammatory acne includes papules, pustules, nodules, and cysts. The type of acne influences treatment choices.","https://www.dermnetnz.org/topics/acne-variants"
Acne,"Prevention strategies include washing the face twice daily with a gentle cleanser, avoiding touching the face, using non-comedogenic cosmetics, and showering after exercising or sweating heavily. Dietary modifications such as reducing dairy and high-glycemic foods may help some individuals.","https://www.niams.nih.gov/health-topics/acne"
Actinic Keratosis,"Actinic keratosis (AK) is a rough, scaly patch on the skin that develops from years of sun exposure. It's most commonly found on the face, lips, ears, forearms, scalp, neck, or back of the hands. Also known as solar keratosis, an actinic keratosis enlarges slowly and usually causes no signs or symptoms other than a patch or small spot on the skin.","https://www.dermnetnz.org/topics/actinic-keratosis"
Actinic Keratosis,"Actinic keratosis is considered a precancerous condition because it can develop into squamous cell carcinoma, a type of skin cancer, if left untreated. The risk of progression is estimated to be between 0.025% and 16% per lesion per year. Fair-skinned individuals with a history of chronic sun exposure are at highest risk.","https://www.skincancer.org/skin-cancer-information/actinic-keratosis"
Actinic Keratosis,"Treatment options for actinic keratosis include cryotherapy (freezing with liquid nitrogen), topical medications (such as 5-fluorouracil, imiquimod, or diclofenac), photodynamic therapy, laser therapy, and surgical removal. The choice of treatment depends on the number, location, and thickness of lesions, as well as patient preferences.","https://www.aad.org/public/diseases/actinic-keratosis"
Actinic Keratosis,"Regular skin examinations are important for early detection. Patients with actinic keratosis should use broad-spectrum sunscreen with SPF 30 or higher, wear protective clothing, and avoid peak sun hours. Avoiding tanning beds is also crucial. Regular follow-up with a dermatologist is recommended to monitor for any changes or new lesions.","https://www.dermnetnz.org/topics/actinic-keratosis-treatment"
Actinic Keratosis,"Actinic keratosis lesions typically appear as small, rough, raised bumps that may be hard and warty. The surface may have a yellow or brown crust. Color can vary from pink, red, or brown to flesh-colored. Lesions are usually asymptomatic but may feel tender or painful when rubbed. They range in size from a pinpoint to over an inch in diameter.","https://www.mayoclinic.org/diseases-conditions-actinic-keratosis/symptoms-causes/syc-20365578"
Atopic Dermatitis,"Atopic dermatitis, also known as eczema, is a chronic inflammatory skin condition characterized by dry, itchy, and inflamed skin. It's common in children but can occur at any age. Atopic dermatitis is long lasting (chronic) and tends to flare periodically. It may be accompanied by asthma or hay fever.","https://www.dermnetnz.org/topics/atopic-dermatitis"
Atopic Dermatitis,"The exact cause of atopic dermatitis is unknown, but it's believed to involve a combination of genetic, immune system, and environmental factors. People with atopic dermatitis tend to have a weakened skin barrier that allows moisture to escape and allergens, bacteria, and irritants to enter. Triggers include irritants, allergens, microbes, temperature changes, foods, stress, and hormones.","https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273"
